DomainIndex	OverlapTSVColumn	Size
0	0	1390015.19813
1	1	6912.6902535
2	2	4986.6679385
3	3	55761.930215
4	4	1123.162467
5	5	2487.1743035
6	6	7107.4816345
7	7	6803.4044765
8	8	7073.785902
9	9	5750.337718
10	10	4600.2615895
11	11	3844.404069
12	12	4137.750102
13	13	3090.6069245
14	14	2841.1297305
15	15	3014.4588615
16	16	2572.1648135
17	17	1315.807623
18	18	43657.6933845
19	19	5882.8456495
20	20	49540.539034
21	21	6739.7903675
22	22	53830.75696
23	23	723.106127
24	24	2310.4112125
25	25	6849.4195405
26	26	7012.232169
27	27	8424.791615
28	28	5780.6853395
29	29	4444.917824
30	30	3542.8594565
31	31	3766.7536485
32	32	2833.703792
33	33	2291.567357
34	34	2448.585178
35	35	2274.826802
36	36	1126.8968985
37	37	387.007292
38	38	5582.1166025
39	39	59299.424109
40	40	7745.640176
41	41	7694.2595495
42	42	8227.7252355
43	43	7610.0416805
44	44	5748.105644
45	45	3560.6301995
46	46	2106.5198375
47	47	1640.7890125
48	48	1907.0926105
49	49	2209.8820335
50	50	3527.621259
51	51	2867.7429205
52	52	2096.0462595
53	53	2357.327691
54	54	24768.29499
55	55	5253.701253
56	56	23477.726973
57	57	5233.011644
58	58	26152.953511
59	59	62966.549993
60	60	1445.7400845
61	61	4581.6323565
62	62	4670.700694
63	63	5671.013242
64	64	6109.701632
65	65	6774.087043
66	66	6506.581559
67	67	4458.6107395
68	68	4407.1871885
69	69	4629.4502495
70	70	5731.27924
71	71	4690.531813
72	72	3015.1456535
73	73	21877.244066
74	74	6679.138049
75	75	35216.0753655
76	76	43651.898577
77	77	78867.9739425
78	78	5449.007728
79	79	61095.041793
80	80	1314.3052655
81	81	4428.177269
82	82	4690.102568
83	83	5812.578243
84	84	5728.875468
85	85	6335.742049
86	86	6083.8181585
87	87	4603.051682
88	88	4536.862103
89	89	4472.904598
90	90	5393.463425
91	91	4423.79897
92	92	2961.0607835
93	93	2207.6499595
94	94	1754.1955415
95	95	54788.1879325
96	96	5370.8422135
97	97	8119.169175
98	98	8366.0279745
99	99	7270.036716
100	100	4941.296742
101	101	3052.6616665
102	102	1994.5727415
103	103	1566.486703
104	104	1688.7786035
105	105	1978.0897335
106	106	2966.94144
107	107	2619.1242165
108	108	1995.388307
109	109	2858.7717
110	110	64528.7013215
111	111	2111.8424755
112	112	2214.732502
113	113	4865.7066975
114	114	4789.944955
115	115	6157.3049025
116	116	6178.8530015
117	117	5861.7267955
118	118	6237.616642
119	119	4679.457292
120	120	4476.8965765
121	121	4434.7447175
122	122	5120.0772845
123	123	4019.4072555
124	124	3380.390224
125	125	48927.92057
126	126	2088.8349435
127	127	2203.572132
128	128	4982.8047335
129	129	4515.8720225
130	130	5568.9817055
131	131	4981.9462435
132	132	3938.580422
133	133	3841.313505
134	134	3704.470199
135	135	3372.3633425
136	136	3015.8324455
137	137	3050.1720455
138	138	2394.586157
139	139	1268.590673
140	140	1755.61205
141	141	52670.421876
142	142	50090.144332
143	143	1861.1633955
144	144	2180.6075245
145	145	5399.215308
146	146	5313.280459
147	147	5853.3994425
148	148	4721.179906
149	149	3863.3337735
150	150	3564.021235
151	151	3645.1056155
152	152	3437.39396
153	153	3258.742191
154	154	3203.283737
155	155	2458.8441335
156	156	1330.573651
157	157	69505.1961535
158	158	2435.278583
159	159	2256.6697385
160	160	4935.544859
161	161	4973.7905885
162	162	6534.6112575
163	163	7069.1929805
164	164	6628.658837
165	165	6446.8735795
166	166	5121.2791705
167	167	5071.529675
168	168	4719.11953
169	169	5437.4610375
170	170	4569.9568925
171	171	3305.2294245
172	172	2371.2781535
173	173	4848.8802935
174	174	868.105088
175	175	24829.0331575
176	176	2168.2452685
177	177	56112.1512105
178	178	53925.362558
179	179	3141.8587775
180	180	2365.311648
181	181	4899.0161095
182	182	5189.486201
183	183	6585.6914125
184	184	5859.1513255
185	185	4523.3408855
186	186	3871.274806
187	187	4179.12932
188	188	3324.8888455
189	189	2772.407606
190	190	3039.140449
191	191	2869.93207
192	192	1304.733102
193	193	61833.3861175
194	194	7547.672382
195	195	6266.290208
196	196	5943.7125905
197	197	7767.61752
198	198	6010.975282
199	199	4028.550174
200	200	2920.411282
201	201	2620.712423
202	202	3093.13947
203	203	3118.4220005
204	204	4057.824683
205	205	3942.872872
206	206	2425.7922685
207	207	2089.392962
208	208	32932.6636635
209	209	8128.440867
210	210	9114.7171035
211	211	10523.971363
212	212	52068.4916125
213	213	4017.1751815
214	214	2907.619781
215	215	5265.11917
216	216	4468.182903
217	217	5569.3251015
218	218	5200.3460995
219	219	3899.0469575
220	220	3511.052402
221	221	3859.1271725
222	222	2904.6579905
223	223	2871.133956
224	224	3340.470439
225	225	2981.5786945
226	226	1273.655764
227	227	65012.58921
228	228	6832.5072875
229	229	6048.405446
230	230	5805.366927
231	231	7807.9236255
232	232	6331.5783725
233	233	4273.4344465
234	234	2956.982956
235	235	2712.0128345
236	236	3454.993005
237	237	3686.1414375
238	238	5052.7716685
239	239	4527.2899395
240	240	2832.0297365
241	241	2691.1515275
242	242	2039.7293155
243	243	4595.325272
244	244	7905.3622405
245	245	10472.204416
246	246	16363.162796
247	247	6297.281697
248	248	3036.3503565
249	249	48314.10022
250	250	5552.4128485
251	251	4239.22362
252	252	1681.7389855
253	253	1494.974486
254	254	5773.1306275
255	255	27103.6024125
256	256	310.3012105
257	257	274.888498
