Index	Ind ID	Class ID	Name	Abbreviation	Note	Centre
1		FBbt_	Superior Inferior Protocerebrum	SIP		[503, 127, 226]
2		FBbt_	Superior Inferior Protocerebrum	SIP		[503, 127, 226]
3		FBbt_	Tritocerebrum dorsal Right	TRd r		[602, 409, 231]
4		FBbt_	VNC centrolateral Right	VNCcl r		[611, 928, 261]
5		FBbt_	Mandibula centrolateral Right	MDcl r		[638, 451, 254]
6		FBbt_	Maxilla centrolateral Right	MXcl r		[642, 484, 255]
7		FBbt_	Labium centrolateral Right	LBcl r		[647, 550, 253]
8		FBbt_	Thoracic Segment 1 centrolateral Right	T1cl r		[633, 637, 253]
9		FBbt_	Thoracic Segment 2 centrolateral Right	T2cl r		[618, 749, 255]
10		FBbt_	Thoracic Segment 3 centrolateral Right	T3cl r		[605, 881, 256]
11		FBbt_	Abdominal Segment 1 centrolateral Right	A1cl r		[594, 991, 257]
12		FBbt_	Abdominal Segment 2 centrolateral Right	A2cl r		[590, 1080, 257]
13		FBbt_	Abdominal Segment 3 centrolateral Right	A3cl r		[589, 1164, 260]
14		FBbt_	Abdominal Segment 4 centrolateral Right	A4cl r		[588, 1243, 267]
15		FBbt_	Abdominal Segment 5 centrolateral Right	A5cl r		[589, 1332, 275]
16		FBbt_	Abdominal Segment 6 centrolateral Right	A6cl r		[589, 1415, 282]
17		FBbt_	Abdominal Segment 7 centrolateral Right	A7cl r		[588, 1490, 295]
18		FBbt_	Abdominal Segment 8 centrolateral Right	A8cl r		[585, 1546, 305]
19		FBbt_00007066	Superior Medial Protocerebrum posterior	SMPp		[499, 136, 214]
20		FBbt_00007065	Superior Medial Protocerebrum anterior	SMPa		[504, 143, 259]
21		FBbt_00111203	Superior Medial Protocerebrum	SMP		[500, 137, 220]
22		FBbt_00111207	Fan-shaped Body Primoridum	prFB		[494, 210, 231]
23		FBbt_	VNC centrolateral Left	VNCcl l		[369, 911, 260]
24		FBbt_	Mandibula centrolateral Left	MDcl l		[307, 452, 257]
25		FBbt_	Maxilla centrolateral Left	MXcl l		[308, 486, 254]
26		FBbt_	Labium centrolateral Left	LBcl l		[317, 549, 253]
27		FBbt_	Thoracic Segment 1 centrolateral Left	T1cl l		[337, 639, 253]
28		FBbt_	Thoracic Segment 2 centrolateral Left	T2cl l		[357, 751, 255]
29		FBbt_	Thoracic Segment 3 centrolateral Left	T3cl l		[375, 877, 255]
30		FBbt_	Abdominal Segment 1 centrolateral Left	A1cl l		[389, 988, 257]
31		FBbt_	Abdominal Segment 2 centrolateral Left	A2cl l		[397, 1079, 257]
32		FBbt_	Abdominal Segment 3 centrolateral Left	A3cl l		[403, 1164, 260]
33		FBbt_	Abdominal Segment 4 centrolateral Left	A4cl l		[409, 1242, 266]
34		FBbt_	Abdominal Segment 5 centrolateral Left	A5cl l		[412, 1332, 275]
35		FBbt_	Abdominal Segment 6 centrolateral Left	A6cl l		[411, 1415, 282]
36		FBbt_	Abdominal Segment 7 centrolateral Left	A7cl l		[415, 1491, 295]
37		FBbt_	Abdominal Segment 8 centrolateral Left	A8cl l		[422, 1545, 306]
38		FBbt_00007129	PErioesophageal NeuroPils	PENP		[486, 298, 259]
39		FBbt_	Tritocerebrum dorsal Left	TRd l		[368, 411, 231]
40		FBbt_	VNC ventrolateral Right	VNCvl r		[602, 813, 284]
41		FBbt_	Mandibula ventrolateral Right	MDvl r		[626, 413, 282]
42		FBbt_	Maxilla ventrolateral Right	MXvl r		[625, 466, 281]
43		FBbt_	Labium ventrolateral Right	LBvl r		[621, 534, 276]
44		FBbt_	Thoracic Segment 1 ventrolateral Right	T1vl r		[608, 641, 274]
45		FBbt_	Thoracic Segment 2 ventrolateral Right	T2vl r		[600, 769, 274]
46		FBbt_	Thoracic Segment 3 ventrolateral Right	T3		[591, 892, 274]
47		FBbt_	Abdominal Segment 1 ventrolateral Right	A1vl r		[577, 1000, 277]
48		FBbt_	Abdominal Segment 2 ventrolateral Right	A2vl r		[572, 1091, 280]
49		FBbt_	Abdominal Segment 3 ventrolateral Right	A3vl r		[573, 1174, 286]
50		FBbt_	Abdominal Segment 4 ventrolateral Right	A4vl r		[575, 1253, 291]
51		FBbt_	Abdominal Segment 5 ventrolateral Right	A5vl r		[575, 1329, 297]
52		FBbt_	Abdominal Segment 6 ventrolateral Right	A6vl r		[578, 1410, 305]
53		FBbt_	Abdominal Segment 7 ventrolateral Right	A7vl r		[575, 1486, 316]
54		FBbt_	Abdominal Segment 8 ventrolateral Right	A8vl r		[576, 1548, 324]
55		FBbt_00007118	Crepine	Cr		[489, 196, 255]
56		FBbt_	Thoracic Segment 3 Leg Neuropil Right	T3Leg r		[651, 902, 262]
57		FBbt_00007070	Inferior Protocerebrum posterior	IPp		[495, 229, 204]
58		FBbt_	Thoracic Segment 3 Leg Neuropil Left	T3Leg l		[341, 901, 262]
59		FBbt_00007067	Lateral Accessory Lobe	LAL		[482, 281, 251]
60		FBbt_	VNC dorsolateral Left	VNCdl l		[387, 1043, 241]
61		FBbt_	Maxilla dorsolateral Left	MXdl l		[336, 497, 234]
62		FBbt_	Labium dorsolateral Left	LBdl l		[332, 556, 232]
63		FBbt_	Thoracic Segment 1 dorsolateral Left	T1dl l		[346, 642, 232]
64		FBbt_	Thoracic Segment 2 dorsolateral Left	T2dl l		[362, 741, 235]
65		FBbt_	Thoracic Segment 3 dorsolateral Left	T3dl l		[374, 847, 233]
66		FBbt_	Abdominal Segment 1 dorsolateral Left	A1dl l		[383, 946, 230]
67		FBbt_	Abdominal Segment 2 dorsolateral Left	A2dl l		[390, 1051, 229]
68		FBbt_	Abdominal Segment 3 dorsolateral Left	A3dl l		[400, 1160, 233]
69		FBbt_	Abdominal Segment 4 dorsolateral Left	A4dl l		[408, 1254, 240]
